"Type","Key Number","Title","KeyCite Treatment","KeyCite URL","Document URL","Court","Date","Citation","Headnote","Document Preview",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","Equitrans Services, LLC v. Precision Pipeline, LLC","","","https://www.westlaw.com/Document/Ic5029bc0b29211e593d3f989482fc037/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=1&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F42037919658","United States District Court, W.D. Pennsylvania.","December 31, 2015","154 F.Supp.3d 189","Under Pennsylvania law, a contract is ""ambiguous,"" as will permit court to look outside the four corners of the contract to interpret it, if it is reasonably or fairly susceptible of different constructions and is capable of being understood in more senses than one and is obscure in meaning through indefiniteness of expression or has a double meaning.","COMMERCIAL LAW  Indemnity. Indemnification provision in construction contract applied only to third-party claims.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","Equitrans Services, LLC v. Precision Pipeline, LLC","","","https://www.westlaw.com/Document/Ic5029bc0b29211e593d3f989482fc037/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=2&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F52037919658","United States District Court, W.D. Pennsylvania.","December 31, 2015","154 F.Supp.3d 189","Under Pennsylvania law, in determining whether ambiguity exists in contractual terms, court may consider the words of the contract, the alternative meaning suggested by counsel, and the nature of the objective evidence to be offered in support of that meaning.","COMMERCIAL LAW  Indemnity. Indemnification provision in construction contract applied only to third-party claims.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","Equitrans Services, LLC v. Precision Pipeline, LLC","","","https://www.westlaw.com/Document/Ic5029bc0b29211e593d3f989482fc037/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=3&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F62037919658","United States District Court, W.D. Pennsylvania.","December 31, 2015","154 F.Supp.3d 189","Under Pennsylvania law, ambiguity in a contract can be either ""patent,"" i.e., on the face of the contract, or ""latent,"" which arises from extraneous or collateral facts which make the meaning of a written agreement uncertain although the language thereof, on its face, appears clear and unambiguous.","COMMERCIAL LAW  Indemnity. Indemnification provision in construction contract applied only to third-party claims.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","Mission Specialty Pharmacy, LLC v. OptumRx, Inc.","","","https://www.westlaw.com/Document/I090f9d40b12611e59dcad96e4d86e5cf/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=4&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F102037918732","United States District Court, W.D. Texas, San Antonio Division.","December 30, 2015","154 F.Supp.3d 453","Under California law, a contract term is not ambiguous merely because the policies do not define it, nor is it ambiguous because of disagreement concerning the meaning of a phrase; rather, a term is only ambiguous when it is capable of two or more constructions, both of which are reasonable.","HEALTH  Injunction. Prohibition of delivery of prescriptions by mail, in contract between pharmacy and company, was not restricted to delivery by U.S. Postal Service.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","Meehancombs Global Credit Opportunities Master Fund, LP v. Caesars Entertainment Corp.","","","https://www.westlaw.com/Document/I24e83950aec411e5be74e186f6bc2536/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=5&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F142037903672","United States District Court, S.D. New York.","December 29, 2015","162 F.Supp.3d 200","Contract language is ""unambiguous"" under New York law when it has a definite and precise meaning, unattended by danger of misconception in the purport of the contract itself, and concerning which there is no reasonable basis for a difference of opinion.","SECURITIES REGULATION  Trust Indentures. Indenture's unconditional right to payment provision in corporate notes did not bar parent corporation's release of its guarantee under the notes.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","Meehancombs Global Credit Opportunities Master Fund, LP v. Caesars Entertainment Corp.","","","https://www.westlaw.com/Document/I24e83950aec411e5be74e186f6bc2536/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=6&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F152037903672","United States District Court, S.D. New York.","December 29, 2015","162 F.Supp.3d 200","Contract language is ""ambiguous"" under New York law if the terms of the contract could suggest more than one meaning when viewed objectively by a reasonably intelligent person who has examined the context of the entire integrated agreement and who is cognizant of the customs, practices, usages and terminology as generally understood in the particular trade or business.","SECURITIES REGULATION  Trust Indentures. Indenture's unconditional right to payment provision in corporate notes did not bar parent corporation's release of its guarantee under the notes.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","Fleming v. IASIS Healthcare Corporation","","","https://www.westlaw.com/Document/I0ab827f0a93511e5963e943a6ea61b35/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=7&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F142037859488","United States District Court, D. Arizona.","December 22, 2015","151 F.Supp.3d 1043","Under Arizona law, a contract is ambiguous only if the language can reasonably be construed in more than one sense and the construction cannot be determined within the four corners of the instrument.","LABOR AND EMPLOYMENT  Discrimination. Employer's articulated reasons for firing employee were not pretext for discrimination in violation of Title VII, the ADEA, or the ADA.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","Blitz Telecom Consulting, LLC v. Peerless Network, Inc.","","","https://www.westlaw.com/Document/I46a99c80a87c11e5963e943a6ea61b35/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=8&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F132037854148","United States District Court, M.D. Florida, Orlando Division.","December 21, 2015","151 F.Supp.3d 1294","Under Illinois law, a contract is ""ambiguous"" when the language used is susceptible to more than one meaning or is obscure in meaning through indefiniteness of expression; contract is ""unambiguous"" where court is able to discern the parties' intent from the plain and obvious meaning of the contract's language.","ENERGY AND UTILITIES  Telecommunications. Telecommunications contract was not ambiguous.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","Blitz Telecom Consulting, LLC v. Peerless Network, Inc.","","","https://www.westlaw.com/Document/I46a99c80a87c11e5963e943a6ea61b35/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=9&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F142037854148","United States District Court, M.D. Florida, Orlando Division.","December 21, 2015","151 F.Supp.3d 1294","Under Illinois law, a contract is not ambiguous simply because a party urges that it is; rather, a contract is ambiguous only where a party shows that its language is reasonably and fairly susceptible to more than one meaning.","ENERGY AND UTILITIES  Telecommunications. Telecommunications contract was not ambiguous.",
"Custom Digest","95 CONTRACTS > 95II Construction and Operation > 95II(A) General Rules of Construction > 95k143 Application to Contracts in General > 95k143(2) Existence of ambiguity >","Certified Multi-media Solutions, Ltd. v. Preferred Contractors Insurance Company Risk Retention Group, LLC","","","https://www.westlaw.com/Document/Ic3192f30a3d411e5963e943a6ea61b35/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=10&sessionScopeId=0d46b021f05b5ce226eef749594b8c280a40aeebcdf61c6d9f5c3d90860aa42b&ppcid=5d8262dbeebd43ada63e3491f47b429a&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F142037816089","United States District Court, E.D. New York.","December 12, 2015","150 F.Supp.3d 228","Under New York law, contract language is ambiguous when it is capable of more than one meaning when viewed objectively by a reasonably intelligent person who has examined the context of the entire integrated agreement and who is cognizant of the customs, practices, usages and terminology as generally understood in the particular trade or business.","INSURANCE  Choice of Law. Montana choice of law provision had to be disregarded and New York law applied.",
